id,name,district,submarket,submarketSource,address,propertyType,publicBuildingType,buildingForm,buildingFormStatus,buildingFormSource,builtYear,builtYearSource,unitPrice,unitPriceSource,priceType,sellCount,source,sourceName,detailStatus
"gotohui-68390","金基汇锦国际","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2014","聚汇数据小区详情页建筑年代","49737","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/68390","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1625324","金基汇锦国际凌江府","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2014","聚汇数据小区详情页建筑年代","51104","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1625324","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-251279","金轮翡翠名园","建邺","应天西路","公开地址归并板块","建邺应天西路","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2013","聚汇数据小区详情页建筑年代","36705","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/251279","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1625900","金马郦城东区","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","43284","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1625900","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1625901","金马郦城西区","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","43610","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1625901","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-72455","金润国际广场","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2013","聚汇数据小区详情页建筑年代","31110","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/72455","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1251609","金沙雅苑","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","50719","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1251609","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-69780","金穗花园","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2012","聚汇数据小区详情页建筑年代","21032","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/69780","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-70117","金隅紫京府","建邺","","","建邺河西","住宅","塔楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2017","聚汇数据小区详情页建筑年代","59975","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/70117","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1252335","精金花园","建邺","河西中部","公开地址归并板块","建邺万达广场","住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","30359","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1252335","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-251313","精锐SOHO","建邺","","","秦淮夫子庙","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2013","聚汇数据小区详情页建筑年代","17072","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/251313","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1484608","康苑新村","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","32463","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1484608","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1778176","康庄馨苑","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","34176","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1778176","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-69499","莱蒙水榭春天","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2013","聚汇数据小区详情页建筑年代","50973","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/69499","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1625327","蓝璟雅居","建邺","","","","小区","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","40101","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1625327","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-530918","蓝瑟公寓","建邺","河西中部","公开地址归并板块","南京建邺区江东中路87号","住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","46522","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/530918","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-327888","朗诗·国际街区","建邺","河西中部","公开地址归并板块","南京建邺区河西大街","住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/327888","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
